Impacto,Circuito,Servicio,Motivo,Solicita,Número de instalación,Municipio,Dirección,Nombre del responsable,Fecha y hora esperada,Inicio,Fin,Horas,Estado,Fecha de registro,Explicación,Barrio,Nombre del contratista ,Tipo de aviso
Bajo,San Cristóbal,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,1242,Medellín,De CR96B hasta CR99B entre CL48DD y CL 49,Claudia Marcela Toro,12/17/2018 11:30:00 AM,12/17/2018 09:00:00 AM,12/17/2018 11:30:00 AM,2.5,ABIERTA,12/10/2018 0:00,"Instalaciones afectadas: 1242 | Motivo: Mantenimiento ERP  | Rango Aproximado: De CR96B hasta CR99B entre CL48DD y CL 49 | Responsable: Alonso Javier Gómez Gallo - 380 09 75 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: San Cristóbal | Observaciones: Mantenimiento Mayor VRP con IPID: 9712161_ CÓDIGO: 41011. Ejecutor: contratista: RECURSO PROPIO EPM.  Auxiliar: ALONSO JAVIER GOMEZ GALLO, Celular: 3013708130. (G.C:0).",JUAN XXIII - LA QUIEBRA,EPM.,IVR
Bajo,San Cristóbal,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,120,Medellín,De CR99B hasta CR100 entre CL48BB y CL 48D,Claudia Marcela Toro,12/17/2018 03:30:00 PM,12/17/2018 01:30:00 PM,12/17/2018 03:30:00 PM,2,ABIERTA,12/10/2018 0:00,"Instalaciones afectadas: 120 | Motivo: Mantenimiento ERP  | Rango Aproximado: De CR99B hasta CR100 entre CL48BB y CL 48D | Responsable: Alonso Javier Gómez Gallo - 380 09 75 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: San Cristóbal | Observaciones: Mantenimiento Mayor VRP con IPID: 2635905_ CÓDIGO: 41009. Ejecutor: contratista: RECURSO PROPIO EPM.  Auxiliar: ALONSO JAVIER GOMEZ GALLO, Celular: 3013708130. (G.C:0).",JUAN XXIII - LA QUIEBRA; EL SOCORRO,EPM.,Volantes
Bajo,Castilla-Bello,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,1122,Bello,De CR57 hasta CR66B entre CL52 y CL 53,Claudia Marcela Toro,12/18/2018 11:00:00 AM,12/18/2018 09:00:00 AM,12/18/2018 11:00:00 AM,2,ABIERTA,12/10/2018 0:00,"Instalaciones afectadas: 1122 | Motivo: Mantenimiento ERP  | Rango Aproximado: De CR57 hasta CR66B entre CL52 y CL 53 | Responsable: Alonso Javier Gómez Gallo - 380 09 75 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Castilla-Bello | Observaciones: Mantenimiento Mayor VRP con IPID: 2671391_ CÓDIGO: 09515. Ejecutor: contratista: RECURSO PROPIO EPM.  Auxiliar: ALONSO JAVIER GOMEZ GALLO, Celular: 3013708130. (G.C:0).",ALTAVISTA (BELLO); EL CARMELO,EPM.,IVR
Bajo,Aguas Frías,Agua,Modernización,Unidad Operación y  Mantenimiento Gestión Aguas Residuale,859,Medellín,De CR89DB hasta CR106 entre CL30 y CL 31F,Claudia Marcela Toro,12/18/2018 03:00:00 PM,12/18/2018 09:00:00 AM,12/18/2018 03:00:00 PM,6,ABIERTA,12/06/2018 0:00,"Instalaciones afectadas: 859 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CR89DB hasta CR106 entre CL30 y CL 31F | Responsable: YENNY VANESSA VILLADA LONDONO-3148848783 - 3804714  - Unidad Operación y  Mantenimiento Gestión Aguas Residuales | Solicitud HIDRO: N.A | Circuito: Aguas Frías | Observaciones: Empalme Red 90 mm PEAD a red 150mm PVC con IPID 4050447. Afecta VRP #63005. Ejecutor: contratista: REDYCO S.A.S.  Auxiliar: JOHN DAVID ARROYAVE CARVAJAL, Celular: 3183352475. (G.C:0).",LAS VIOLETAS,REDYCO S.A.S.,IVR
Bajo,Aguas Frías,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,1564,Medellín,De CR100 hasta CR110 entre CL31A y CL 31F,Claudia Marcela Toro,12/18/2018 03:00:00 PM,12/18/2018 09:00:00 AM,12/18/2018 03:00:00 PM,6,ABIERTA,12/07/2018 0:00,"Instalaciones afectadas: 1564 | Motivo: Adecuación hidráulica VRP  | Rango Aproximado: De CR100 hasta CR110 entre CL31A y CL 31F | Responsable: Fabián De Jesús Marín Londoño - 380 75 85 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Aguas Frías | Observaciones: ADECUACION HIDRAULICA VRP 63004  CON IPID  2640317. Ejecutor: contratista: RECURSO PROPIO  (GERMAN CARDONA).  Auxiliar: FABIAN DE JESUS MARIN LONDOÑO, Celular: 3012222605. (G.C:0).",SAN PABLO; LAS VIOLETAS,EPM,IVR
Alto,Villa Hermosa,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,15975,Medellín,De CL 63 hasta CL 66 entre CR 34 y 45C; De CL 66 hasta CL 66E entre CR 38 y 43; De CL 67 hasta CL 72 entre CR 38 y 44A; De CL 76 hasta CL 78 entre CR 41 y 44ª; De CL 78 hasta CL 85 entre CR 41 y 42ª; De CL 85 hasta CL 87 entre CR 42 y 44,Claudia Marcela Toro,12/18/2018 08:00:00 PM,12/18/2018 01:00:00 PM,12/18/2018 08:00:00 PM,7,ABIERTA,12/10/2018 0:00,"Instalaciones afectadas: 15975 | Motivo: Cambio de válvula - Reubicación de hidrante  | Rango Aproximado: De CL 63 hasta CL 66 entre CR 34 y 45C; De CL 66 hasta CL 66E entre CR 38 y 43; De CL 67 hasta CL 72 entre CR 38 y 44A; De CL 76 hasta CL 78 entre CR 41 y 44ª; De CL 78 hasta CL 85 entre CR 41 y 42ª; De CL 85 hasta CL 87 entre CR 42 y 44 | Responsable: León Humberto Posada Ríos - 380 09 57 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Villa Hermosa | Observaciones: INTERCALAR HIDRANTE DE 3"" CON IPID 2661264; TRASLADO DE  HIDRANTE 3"" CON IPID 9467726; CAMBIO DE DOS VÁLVULAS 3"" CON IPIDs 9106186 y 2654951. Ejecutor: contratista: SANEAR S.A.  Auxiliar:YENY ALEXANDRA TAMAYO RUIZ, Celular: 3004636873 . (G.C:6).",ENCISO;VILLA HERMOSA;SAN MIGUEL;LA LADERA;MANRIQUE ORIENTAL;LA MANSION;BATALLON GIRARDOT;MANRIQUE CENTRAL NO. 2;EL POMAR;CAMPO VALDES NO. 2;LOS MANGOS;LAS GRANJAS (MEDELLIN);EL RAIZAL;SANTA INES;MANRIQUE CENTRAL NO. 1,SANEAR S.A.,IVR + Plan medios
Bajo,Altos De Niquia,Agua,Mantenimiento,Unidad Operación Mantenimiento Provisión Aguas,10,Bello,De DIAG65 hasta DIAG65 entre AVDA48A y AVDA 48C,Claudia Marcela Toro,01/09/2019 17:00,01/09/2019 13:00,01/09/2019 17:00,4,ABIERTA,12/21/2018 12:00:00 AM,"Instalaciones afectadas: 10 | Motivo: Cambio de hidrante | Rango Aproximado: De DIAG65 hasta DIAG65 entre AVDA48A y AVDA 48C | Responsable: León Humberto Posada Ríos - 380 09 57 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: Altos De Niquia | Observaciones: CAMBIO DE HIDRANTE 3"" CON IPID 2034032. Ejecutor: contratista: SANEAR S.A.  Auxiliar: LEONARDO PINEDA, Celular: 3042161728 . (G.C:0).",ALTOS DE NIQUIA,SANEAR S.A.,Volantes
Medio,Altavista Sur,Agua,Modernización,Unidad Operación y  Mantenimiento Gestión Aguas Residuale,3645,Medellín,De CR79 hasta CR84F entre CL9 y CL 15,Claudia Marcela Toro,01/10/2019 16:00,01/10/2019 10:00,01/10/2019 16:00,6,ABIERTA,12/17/2018 12:00:00 AM,"Instalaciones afectadas: 3645 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CR79 hasta CR84F entre CL9 y CL 15 | Responsable: YENNY VANESSA VILLADA LONDONO-3148848783 - 3804714  - Unidad Operación y  Mantenimiento Gestión Aguas Residuales | Solicitud HIDRO: N.A | Circuito: Altavista Sur | Observaciones: Empalme Red de 90 mm PEAD a red 300mm PVC con IPID  2057980. Ejecutor: contratista: REDYCO S.A.S.  Auxiliar: Carlos Mario Taborda, Celular: 3006759371. (G.C:0).",LA LOMA DE LOS BERNAL; LA GLORIA (MEDELLIN); ALTAVISTA (MEDELLIN),REDYCO S.A.S.,IVR
Bajo,El Noral,Agua,Modernización,Unidad Operación Mantenimiento Provisión Aguas,153,Copacabana,De CL hasta CL entre CR y CR,Yaneth Moreno Vélez,01/11/2019 15:00,01/11/2019 10:00,01/11/2019 15:00,5,ABIERTA,12/20/2018 12:00:00 AM,Instalaciones afectadas: 153 | Motivo: Empalme de red nueva a red existente  | Rango Aproximado: De CL hasta CL entre CR y CR  | Responsable: Carlos Andres Castro Perez - 380 70 43 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: El Noral | Observaciones: Empalmes sobre red existente con IPID 9152197 SOL 2511160. Ejecutor: Sanear S.A.. Auxiliar: Carlos Andres Castro Perez. Celular : 3006984495 . (G.C:0).,"TABLAZO CANOAS, MARIA.",SANEAR S.A.,Volantes
Bajo,San Cristóbal (Elevdado),Agua,Lavado de tanque,Unidad Operación Mantenimiento Provisión Aguas,40,Medellín,De CL 64 hasta CL 65 entre CR 130 y CR 130B,Jorge Humberto Marin Posada,01/14/2019 11:00:00 AM,01/14/2019 08:00:00 AM,01/14/2019 11:00:00 AM,3,ABIERTA,01/08/2019 0:00,"Instalaciones afectadas: 40 | Motivo: Lavado de tanque | Rango Aproximado: De CL 64 hasta CL 65 entre CR 130 y CR 130B | Responsable: Uver Ney Chica Fernández -  380 75 76 - Unidad Operación Mantenimiento Provisión Aguas                  | Solicitud HIDRO: N.A | Circuito: San Cristóbal (Elevdado) | Observaciones: Lavado del tanque Servicios San Cristobal (Elevado). Ejecutor: Contratista: Ingeniería Total Ltda. Auxiliar: John Jairo Osorio Jiménez, celular: 3014301876. (G.C=1).",SAN CRISTOBAL,Ingeniería Total Ltda.,IVR
